"NR_ALBUMU","NAZWISKO","IMIE","WIEK","NR_GR","NAZWA_GR"
3221,"Porochnicki","Baldwin",26,34,"4ID12B"
3222,"Golanski","Fideliusz ",27,5,"1ID13A"
3223,"Garderowicz","Dalewuj",23,4,"1ID12B"
3224,"Tocholczenko","Apoloniusz",24,23,"3ID11A"
3225,"Esden","Karmen ",23,18,"2ID13B"
3226,"Solosnia","Bonifacy",23,32,"4ID11B"
3227,"Pawluskiewicz","Renata",27,6,"1ID13B"
3228,"Rynut","Maksymilian ",24,6,"1ID13B"
3229,"Sieniewski","Narcyza ",22,26,"3ID12B"
3230,"Malibo","Bazyli",27,32,"4ID11B"
3231,"Kresztefowicz","Malomir ",28,31,"4ID11A"
3232,"Szalwinski","Biezuj",26,2,"1ID11B"
3233,"Krajeczynski","Marzena ",26,18,"2ID13B"
3234,"Ilga","Olgierd",22,35,"4ID13A"
3235,"Nawlok","Napoleon ",26,19,"2ID14A"
3236,"Epe","Druzjanna ",23,12,"1ID16B"
3237,"Latel","Longina ",29,14,"2ID11B"
3238,"switajski","Donat ",28,18,"2ID13B"
3239,"Kolinczak","Juliusz ",27,7,"1ID14A"
3240,"Idenc","Melchior ",23,2,"1ID11B"
3241,"Olinger","Krystyn ",28,24,"3ID11B"
3242,"Apielonek","Ala",22,35,"4ID13A"
3243,"Pazybut","Jasiek",25,25,"3ID12A"
3244,"Gintowska","Diana ",22,27,"3ID13A"
3245,"Zwierkowski","Lubgost ",27,32,"4ID11B"
3246,"Gawraczynski","Bogumila",23,35,"4ID13A"
3247,"Roguzinski","Dobrociech ",21,20,"2ID14B"
3248,"Guziewski","Gaspar",22,19,"2ID14A"
3249,"Ostergren","Adolf",23,29,"3ID14A"
3250,"Kachowski","Niegowoj ",23,22,"2ID15B"
3251,"Myzlicka","Borzuj",25,18,"2ID13B"
3252,"Pakaluk","Mieczyslawa ",20,12,"1ID16B"
3253,"Kumosa","Slawomira",28,31,"4ID11A"
3254,"Cibal","Teodozja",21,4,"1ID12B"
3255,"Hinglot","Gostmil ",22,4,"1ID12B"
3256,"Hejden","Fryderyka ",23,25,"3ID12A"
3257,"Pasierpski","Milena ",23,8,"1ID14B"
3258,"Grodniewski","Kasandra ",24,34,"4ID12B"
3259,"Kaczmarczyn","Diogenes ",24,6,"1ID13B"
3260,"Goleman","Niemir ",23,15,"2ID12A"
3261,"Sezoniak","Agnieszka",28,18,"2ID13B"
3262,"Andrako","Zbigniewa",21,15,"2ID12A"
3263,"Kicor","Czeslaw ",21,36,"4ID13B"
3264,"Gnitka","Radzislawa",26,9,"1ID15A"
3265,"Nahalewicz","Cezar",24,8,"1ID14B"
3266,"Madlikowska","Judyta ",29,24,"3ID11B"
3267,"Inbiorowicz","Kalinka",27,11,"1ID16A"
3268,"lubis","Bernardyna",28,28,"3ID13B"
3269,"Maciowicz","Neonila ",27,19,"2ID14A"
3270,"Bilitz","Amadeusz",27,22,"2ID15B"
3271,"Jahoda","Dobielut ",23,9,"1ID15A"
3272,"Kalet","Maksymian ",24,3,"1ID12A"
3273,"Ciepierzynski","Adrianna",22,29,"3ID14A"
3274,"Loson","Bohdana",20,12,"1ID16B"
3275,"Ewelina","Walentyn",28,5,"1ID13A"
3276,"Mendewicz","Dolores ",26,15,"2ID12A"
3277,"Chobryn","Eryk ",27,19,"2ID14A"
3278,"Suyla","Osiegniew",22,30,"3ID14B"
3279,"Siminowicz","Kasjana ",22,23,"3ID11A"
3280,"lagozny","Lucja ",20,26,"3ID12B"
3281,"Marukowska","Mojlesz ",29,17,"2ID13A"
3282,"Solobaj","Patrycjusz",24,26,"3ID12B"
3283,"Kasiewicz","Tycjan",23,34,"4ID12B"
3284,"Kerger","Wenanty",20,13,"2ID11A"
3285,"Merschel","Eutropiusz ",26,36,"4ID13B"
3286,"Mordyl","Kleopatra ",24,10,"1ID15B"
3287,"Langaj","Gwidon ",25,16,"2ID12B"
3288,"Kierchniawy","Edek",21,17,"2ID13A"
3289,"Nerenberg","Dionizy ",25,22,"2ID15B"
3290,"BuZyk","Nadmir ",20,22,"2ID15B"
3291,"Felstau","Cieslawa ",26,12,"1ID16B"
3292,"Grzybala","Hubert ",23,34,"4ID12B"
3293,"Matanska","Eliza",24,13,"2ID11A"
3294,"Fultiak","Bolcza",20,23,"3ID11A"
3295,"Zarkocz","Witolda",21,18,"2ID13B"
3296,"Fedlo","Cieszyslaw ",25,11,"1ID16A"
3297,"Bytomski","Niegodoma ",20,31,"4ID11A"
3298,"Ciszkieluk","Drogoslawa ",27,19,"2ID14A"
3299,"Szmydowski","Max",23,28,"3ID13B"
3300,"Wellnowski","Gliceria ",26,33,"4ID12A"
3301,"Mikolko","Gwidon ",21,19,"2ID14A"
3302,"Szpalarz","Donat ",26,6,"1ID13B"
3303,"Chabiniec","Tadek",20,31,"4ID11A"
3304,"Pobuta","Cecylia ",25,5,"1ID13A"
3305,"Gostwicki","Gaudencja ",22,15,"2ID12A"
3306,"Kuraman","Roma",26,16,"2ID12B"
3307,"Paslednik","Modest ",26,24,"3ID11B"
3308,"Gudajczyk","Magdalena",28,11,"1ID16A"
3309,"Hercyk","Daniela ",27,14,"2ID11B"
3310,"Pazikiewicz","Ignacja ",25,6,"1ID13B"
3311,"Bulwald","Radomila",28,30,"3ID14B"
3312,"Macichorski","Bogumil",21,24,"3ID11B"
3313,"Rewal","Lubomirz ",23,33,"4ID12A"
3314,"Charber","Teodora",20,23,"3ID11A"
3315,"Matiaszewski","Oswald",23,17,"2ID13A"
3316,"OZogowicz","Joachim ",26,7,"1ID14A"
3317,"Wyzgol","Maryla ",23,12,"1ID16B"
3318,"Leiblich","Adolf",29,25,"3ID12A"
3319,"Ubycha","Herakliusz ",26,23,"3ID11A"
3320,"Mandrek","Maja ",23,6,"1ID13B"
3321,"Zudek","Tymek",26,14,"2ID11B"
3322,"Bienkowski","Daroslaw ",20,15,"2ID12A"
3323,"Piasny","Niestoj ",22,4,"1ID12B"
3324,"OZyp","Oliwiusz",25,12,"1ID16B"
3325,"Legawica","Kinga",21,8,"1ID14B"
3326,"Bziawa","Minigniew ",23,30,"3ID14B"
3327,"Latra","Wiktoryn",25,21,"2ID15A"
3328,"lakomow","Dobrowit ",28,22,"2ID15B"
3329,"Kenska","Sewera",21,34,"4ID12B"
3330,"cwiaczek","Frumencjusz ",24,16,"2ID12B"
3331,"Klapecka","Arnold ",21,9,"1ID15A"
3332,"Slimok","Tymoteusz",24,34,"4ID12B"
3333,"Mordausz","Ludwik",22,33,"4ID12A"
3334,"Bercza","Erhard ",27,9,"1ID15A"
3335,"Bettmann","Witoslaw",23,35,"4ID13A"
3336,"Garmot","Gonsalwy ",20,8,"1ID14B"
3337,"Meysner","Daniela ",25,36,"4ID13B"
3338,"Gelik","Domalyr ",27,8,"1ID14B"
3339,"Kalistel","Malina ",28,24,"3ID11B"
3340,"Dupkiewicz","Samuel",24,8,"1ID14B"
3341,"Kanisty","Letycja ",28,7,"1ID14A"
3342,"Ismailow","Ferdynand",20,10,"1ID15B"
3343,"Haide","Kajmir ",22,23,"3ID11A"
3344,"Bredzej","Wit",25,9,"1ID15A"
3345,"Zeglin","Bartosz",26,34,"4ID12B"
3346,"Dackow","Borzymir",27,22,"2ID15B"
3347,"Menclikowski","Lucjusz ",26,2,"1ID11B"
3348,"Zelas","Slawobor",29,4,"1ID12B"
3349,"Brostowski","Waldemat",22,9,"1ID15A"
3350,"Pazniakowicz","Drogodziej",23,6,"1ID13B"
3351,"Aroniec","Natalia ",24,5,"1ID13A"
3352,"Tincek","Wladek",24,13,"2ID11A"
3353,"Jelionek","Michalina ",23,27,"3ID13A"
3354,"Ciupyk","Mironieg ",27,13,"2ID11A"
3355,"Wolakis","lucja",21,4,"1ID12B"
3356,"Hummerling","Dionizja ",26,7,"1ID14A"
3357,"Korepa","Roma",22,22,"2ID15B"
3358,"Stopowicz","Racibor",29,20,"2ID14B"
3359,"Leyna","Tadeusz",26,27,"3ID13A"
3360,"Windelbandt","Michal",26,26,"3ID12B"
3361,"Gagolinska","Jaclaw ",20,3,"1ID12A"
3362,"Aniola","Ciechoslawa",26,13,"2ID11A"
3363,"Wykusz","Henia",20,23,"3ID11A"
3364,"Otemba","Lubomirz ",25,31,"4ID11A"
3365,"Bekarski","Martynian ",27,33,"4ID12A"
3366,"Bialogrecki","Dobrawa ",29,12,"1ID16B"
3367,"Boraczek","Franek",28,24,"3ID11B"
3368,"Kodrow","Teodozjusz",28,3,"1ID12A"
3369,"Kuncajtis","Filemon ",20,32,"4ID11B"
3370,"Dawikowski","Roman",20,31,"4ID11A"
3371,"Motonog","Ola",27,26,"3ID12B"
3372,"Fijal","Sybilla",25,9,"1ID15A"
3373,"Zietera","Falibog",20,13,"2ID11A"
3374,"smigel","Alberta",22,17,"2ID13A"
3375,"Noschylla","January ",21,21,"2ID15A"
3376,"Heymanowski","Cyra ",27,14,"2ID11B"
3377,"Wawroski","Ewelina ",22,15,"2ID12A"
3378,"Pilaski","Bernardyna",26,11,"1ID16A"
3379,"Kafan","Boguslaw",23,22,"2ID15B"
3380,"Sadrzyk","Serwacy",24,27,"3ID13A"
3381,"Bralum","Czeslawa",29,19,"2ID14A"
3382,"Miniajlo","Bldzislaw",27,23,"3ID11A"
3383,"Masierkowski","Sebastian",21,29,"3ID14A"
3384,"lomicz","Krzeslaw ",20,25,"3ID12A"
3385,"Nurji","Ania",24,4,"1ID12B"
3386,"Portych","Matron ",28,3,"1ID12A"
3387,"Strugiel","Teodozy",26,29,"3ID14A"
3388,"Mycz","Ziemowit",27,33,"4ID12A"
3389,"Warchonowska","Marceli ",20,14,"2ID11B"
3390,"Berzedyczak","Gracjan ",22,13,"2ID11A"
3391,"Libsz","Jeroslawa ",21,8,"1ID14B"
3392,"Janasz","Nawuj ",26,25,"3ID12A"
3393,"Smolakow","Augustyn",24,7,"1ID14A"
3394,"Hapter","Hiacynt ",26,33,"4ID12A"
3395,"Bobow","Wladyslawa",25,33,"4ID12A"
3396,"Laluszko","Atanazja ",29,23,"3ID11A"
3397,"Halter","lazarz",25,7,"1ID14A"
3398,"Montag","Ksaweryna ",20,11,"1ID16A"
3399,"Czajcinski","Machabeusz ",21,15,"2ID12A"
3400,"Brodawkin","Laurka",29,22,"2ID15B"
3401,"Wyroslek","Odyseusz",28,22,"2ID15B"
3402,"Botagowska","Hubyslawa ",21,27,"3ID13A"
3403,"Koptiewicz","Bronislaw ",27,17,"2ID13A"
3404,"Paton","Czcirad ",21,4,"1ID12B"
3405,"Biernatowicz","Teodor",20,33,"4ID12A"
3406,"Drochobycki","Ilona ",21,29,"3ID14A"
3407,"loszakiewicz","Wieslaw",23,36,"4ID13B"
3408,"Swaka","Nieznamir ",28,28,"3ID13B"
3409,"Wronicz","Niegoslawa ",26,17,"2ID13A"
3410,"Basciuk","Ciechoslawa",22,13,"2ID11A"
3411,"Horniak","Madzia ",22,4,"1ID12B"
3412,"Psujka","Malina ",26,12,"1ID16B"
3413,"Kemnitz","Dobromil ",21,36,"4ID13B"
3414,"Mrochacz","Joachim ",20,34,"4ID12B"
3415,"Staniew","Ezechiel ",21,9,"1ID15A"
3416,"DobrZanski","Gliceria ",25,31,"4ID11A"
3417,"Osakowski","Fryderyk ",22,6,"1ID13B"
3418,"Palczuga","Nieznamir ",22,27,"3ID13A"
3419,"Marwowska","Bonawentura",26,14,"2ID11B"
3420,"Korfas","Marek ",25,8,"1ID14B"
3421,"Belchert","Hania",26,32,"4ID11B"
3422,"Glizner","Bogumir",22,34,"4ID12B"
3423,"Jamkowski","Gerazym ",25,17,"2ID13A"
3424,"Skrom","Ambroly",23,22,"2ID15B"
3425,"Gaszowski","Maryn ",22,10,"1ID15B"
3426,"Swidnicki","Sergiusz",28,33,"4ID12A"
3427,"Przechewka","Dagobert",25,9,"1ID15A"
3428,"Kuncer","Marcjal ",29,17,"2ID13A"
3429,"Blont","Leonia ",21,7,"1ID14A"
3430,"Zuromski","Gwalbert ",26,13,"2ID11A"
3431,"Czabakowska","Borzymir",29,24,"3ID11B"
3432,"Kanieczniak","Falislawa ",26,14,"2ID11B"
3433,"Fitio","Berenika",21,8,"1ID14B"
3434,"Byskorz","Honoriusz ",23,34,"4ID12B"
3435,"Gruzel","Ksawera ",23,21,"2ID15A"
3436,"Rejmiak","Tymek",27,23,"3ID11A"
3437,"Magurz","Ludomir ",26,26,"3ID12B"
3438,"Jargilo","Ostrogniew",26,5,"1ID13A"
3439,"Januszczok","Kryspina ",23,18,"2ID13B"
3440,"Niesporek","Olga",27,24,"3ID11B"
3441,"Dzygowska","Anna",26,31,"4ID11A"
3442,"Jajdalska","Fabrycy",28,27,"3ID13A"
3443,"laguzinska","Krzysztofa ",22,18,"2ID13B"
3444,"Cygan-Wada","Nawoj ",28,16,"2ID12B"
3445,"Kleinberg","Bolo",24,24,"3ID11B"
3446,"Larucha","Jas",27,15,"2ID12A"
3447,"Tepner","Maura ",25,10,"1ID15B"
3448,"Szamianko","Czcibor ",24,34,"4ID12B"
3449,"Chodonionek","Sara",25,12,"1ID16B"
3450,"Duscher","Cezar",24,14,"2ID11B"
3451,"Deryngowski","Georgia ",24,12,"1ID16B"
3452,"Kretok","Neonila ",29,2,"1ID11B"
3453,"Wasielczuk","Robert",27,3,"1ID12A"
3454,"Zowociuk","Felicja ",26,32,"4ID11B"
3455,"Littkeitz","Radoslawa",21,12,"1ID16B"
3456,"Gorizontow","Maciek",25,33,"4ID12A"
3457,"Woclow","Witolda",21,27,"3ID13A"
3458,"Wachla","Hugo ",22,6,"1ID13B"
3459,"Toczaniuk","Naum ",21,29,"3ID14A"
3460,"Kuslowska","Patrycja",23,13,"2ID11A"
3461,"Dzialowska","January ",24,36,"4ID13B"
3462,"Bogoleska","Florencjusz ",20,25,"3ID12A"
3463,"Staruk","Metoda ",23,28,"3ID13B"
3464,"Dobryjalowicz","Eugenia ",29,7,"1ID14A"
3465,"Tawluj","Wlodek",28,4,"1ID12B"
3466,"Szypski","Euzebiusz ",20,23,"3ID11A"
3467,"Daszkowski","Budzislawa",21,12,"1ID16B"
3468,"Klepka","Serwacy",20,19,"2ID14A"
3469,"Czasnocha","Gienek",23,33,"4ID12A"
3470,"Debowy","Krystyna ",24,18,"2ID13B"
3471,"Niedzwiedzik","Gerarda ",27,16,"2ID12B"
3472,"Placzynski","Egbert",26,5,"1ID13A"
3473,"Brydniak","Kazimiera ",29,29,"3ID14A"
3474,"Ochrymczuk","Cibora ",21,13,"2ID11A"
3475,"Niesiolowski","lucja",21,32,"4ID11B"
3476,"Pasmik","Bartosz",24,11,"1ID16A"
3477,"Jandta","Jlzef ",29,34,"4ID12B"
3478,"MaroZna","Amanda",27,30,"3ID14B"
3479,"Hanisek","Waldek",23,8,"1ID14B"
3480,"Prentkopowicz","Faust",22,33,"4ID12A"
3481,"Okraglinski","Morzyslawa ",20,30,"3ID14B"
3482,"Nadziejewski","Drogoslawa ",27,23,"3ID11A"
3483,"Kaiszewski","Eugeniusz ",20,33,"4ID12A"
3484,"Koniew","Armand",26,10,"1ID15B"
3485,"Doradzinski","Witolda",24,22,"2ID15B"
3486,"Janrczek","Faust",26,9,"1ID15A"
3487,"Dalny","Flawiusz ",26,36,"4ID13B"
3488,"Czaszejko","Daria ",24,7,"1ID14A"
3489,"Bardzilowski","Czcibor ",24,29,"3ID14A"
3490,"Chrzuszcz","Franek",21,20,"2ID14B"
3491,"Balachowski","Marian ",28,32,"4ID11B"
3492,"Wierzbitza","Lucjola ",28,25,"3ID12A"
3493,"Ukropek","Dionizjusz ",26,3,"1ID12A"
3494,"ChorZelewski","Konkordiusz ",24,15,"2ID12A"
3495,"Galadyna","Tobiasz",22,20,"2ID14B"
3496,"Lotterhoffer","Alfreda",27,19,"2ID14A"
3497,"Sapielak","Kinga",23,2,"1ID11B"
3498,"Mundry","Juri",21,5,"1ID13A"
3499,"Luci","Oswald",20,4,"1ID12B"
3500,"Frezewitte","Ilona ",23,8,"1ID14B"
3501,"Raszek","Radzislaw",20,28,"3ID13B"
3502,"Bandrek","Hiacynta ",22,21,"2ID15A"
3503,"Kucwal","Matron ",22,5,"1ID13A"
3504,"Zlotowicz","Aureliusz",23,23,"3ID11A"
3505,"Daliwela","Wojciecha",21,8,"1ID14B"
3506,"Trejszer","Bonawentura",28,35,"4ID13A"
3507,"Wrzuszczak","Niedamir ",26,3,"1ID12A"
3508,"Malbord","Ninomysl ",24,28,"3ID13B"
3509,"Wochanka","Heliasz ",26,3,"1ID12A"
3510,"Tulinowski","Cieszyrad ",29,27,"3ID13A"
3511,"Zachlod","Sylwester",23,17,"2ID13A"
3512,"Achren","Alicjana",28,35,"4ID13A"
3513,"Kornijecki","Loreta ",22,24,"3ID11B"
3514,"Preferansow","Czarek",20,29,"3ID14A"
3515,"Czworkowski","Aga",20,24,"3ID11B"
3516,"Pylanski","Dalbor",27,13,"2ID11A"
3517,"Przesadny","Mati",21,3,"1ID12A"
3518,"Pautrzak","Chocieslaw",22,4,"1ID12B"
3519,"Luleszewicz","Apollonia",25,18,"2ID13B"
3520,"Sielczniew","Namir ",23,18,"2ID13B"
3521,"Stulak","Bogusz",26,34,"4ID12B"
3522,"Osiadacz","lukasz",28,7,"1ID14A"
3523,"Browich","Chocieslaw",29,24,"3ID11B"
3524,"Tolpyho","Derwan",23,29,"3ID14A"
3525,"Gudasch","Maslaw ",29,18,"2ID13B"
3526,"DzierZaczyk","Maryn ",26,8,"1ID14B"
3527,"Koladziejczyk","Pelagia",25,28,"3ID13B"
3528,"Plesniarski","Aureliusz",22,4,"1ID12B"
3529,"Ciuk","Aureliusz",23,24,"3ID11B"
3530,"Marseg","Dorian",22,9,"1ID15A"
3531,"Siukowska","Konstancjusz ",27,24,"3ID11B"
3532,"Deur","Kubul",28,12,"1ID16B"
3533,"Szyngolec","Gawin",22,35,"4ID13A"
3534,"Werh","Kinga",20,16,"2ID12B"
3535,"Nikoleszyn","Gebhard ",28,2,"1ID11B"
3536,"Nadkaniec","Bogwidza ",29,36,"4ID13B"
3537,"Stellmann","Wladyslawa",29,21,"2ID15A"
3538,"Zamoic","Bernadeta",25,9,"1ID15A"
3539,"Wajdowicz","Edyta",29,30,"3ID14B"
3540,"Skrobunski","Justyna ",21,32,"4ID11B"
3541,"Sosnala","Fabia",20,27,"3ID13A"
3542,"Knipowicz","Wlodzimierz",22,13,"2ID11A"
3543,"Tegier","Nora ",24,3,"1ID12A"
3544,"Kalwala","Delfin",29,36,"4ID13B"
3545,"Stankala","Fideliusz ",26,29,"3ID14A"
3546,"Powalek","Dacjusz",26,13,"2ID11A"
3547,"laszczyk","Czesbor ",27,11,"1ID16A"
3548,"Kwiecijasz","Cezariusz",25,19,"2ID14A"
3549,"Gronwald","Krzesimir ",20,33,"4ID12A"
3550,"DZaryga","Ludwika ",27,35,"4ID13A"
3551,"Smolgarz","Balbin",29,26,"3ID12B"
3552,"Pytlorz","Robek",22,32,"4ID11B"
3553,"Chitry","Ala",20,11,"1ID16A"
3554,"Szymanski","Antek",28,32,"4ID11B"
3555,"Hagen","Krzyl",29,26,"3ID12B"
3556,"Gwiezdzinski","Hiob ",23,9,"1ID15A"
3557,"Knab","Oswalda",20,8,"1ID14B"
3558,"Szaffarkiewicz","Balbin",21,11,"1ID16A"
3559,"Bialonczak","Eryk ",25,33,"4ID12A"
3560,"Hoerner","Felicja ",29,14,"2ID11B"
3561,"Chigryn","Halka ",23,27,"3ID13A"
3562,"Melis","Niegodoma ",20,29,"3ID14A"
3563,"Korzyn","Iwonka",23,16,"2ID12B"
3564,"Skleniorz","Manswet ",22,24,"3ID11B"
3565,"BoZilow","Sylwiusz",23,13,"2ID11A"
3566,"Szlozarek","Bohusz",29,30,"3ID14B"
3567,"Bienkunski","Judyta ",26,11,"1ID16A"
3568,"Dziuszkin","Gawin",24,8,"1ID14B"
3569,"Nukiel","Gawin",27,23,"3ID11A"
3570,"Kubiatowski","Niedamir ",25,9,"1ID15A"
3571,"Starystach","Hipolit ",27,10,"1ID15B"
3572,"Zywotek","Budzislawa",29,3,"1ID12A"
3573,"Apiecinek","Beatrycze",29,21,"2ID15A"
3574,"Kusniewski","Leonard ",25,10,"1ID15B"
3575,"DelZynska","Modest ",26,35,"4ID13A"
3576,"Gordejew","Helena ",28,10,"1ID15B"
3577,"Kielmuc","Gniewomir ",24,20,"2ID14B"
3578,"Winsche","Bazyla",28,17,"2ID13A"
3579,"Kutzias","Sara",25,19,"2ID14A"
3580,"Berys","Sabina",29,32,"4ID11B"
3581,"Kolszut","Stanislawa",28,22,"2ID15B"
3582,"Barchmann","Floryn ",20,31,"4ID11A"
3583,"Kierzak","Emeryk ",21,18,"2ID13B"
3584,"Kwisek","Konkordia ",23,25,"3ID12A"
3585,"Jendritza","Sylwiusz",23,3,"1ID12A"
3586,"Reynsz","Ryszarda",25,24,"3ID11B"
3587,"Cierzyniewska","Niestoj ",21,16,"2ID12B"
3588,"Podlikowska","Symeon",22,21,"2ID15A"
3589,"Szuwarowski","Dolores ",22,14,"2ID11B"
3590,"Eiwardt","Felicjan ",25,34,"4ID12B"
3591,"Najgebaur","Leoncjusz ",25,8,"1ID14B"
3592,"Ninin","Sylwester",26,7,"1ID14A"
3593,"Kurzowiak","Janislaw ",26,3,"1ID12A"
3594,"Filipkow","Celestyn",29,3,"1ID12A"
3595,"Bustrzycki","Ildefons ",28,3,"1ID12A"
3596,"Wizelberg","Benedykt",23,9,"1ID15A"
3597,"KaZmierowski","Enniusz ",22,17,"2ID13A"
3598,"Brykwicz","Raisa",27,28,"3ID13B"
3599,"Brdekiewicz","Ludomir ",20,19,"2ID14A"
3600,"Kulaska","Lubomir ",22,17,"2ID13A"
3601,"WyleZuch","Teodozy",28,30,"3ID14B"
3602,"Kulela","Gwalbert ",28,8,"1ID14B"
3603,"Kufirski","Dionizja ",26,15,"2ID12A"
3604,"Rochenbach","Witoslawa",20,33,"4ID12A"
3605,"Dadzinska","Bohusz",22,20,"2ID14B"
3606,"Pilsniakowski","Dobromila ",21,12,"1ID16B"
3607,"Strelkow","Blalej",25,22,"2ID15B"
3608,"labencki","Aurelia ",24,19,"2ID14A"
3609,"Mrzesowski","Wawrzyniec",20,21,"2ID15A"
3610,"Stryczula","Antek",25,25,"3ID12A"
3611,"Wrzanska","Nieprasz ",28,19,"2ID14A"
3612,"Drechna","Jarek",24,34,"4ID12B"
3613,"Wiencyk","Hiob ",23,23,"3ID11A"
3614,"Wanerski","Marcjanna ",22,31,"4ID11A"
3615,"Szerszej","Leslawa ",26,24,"3ID11B"
3616,"Hosbein","Eleonora",23,24,"3ID11B"
3617,"Harwozinski","Domorad ",22,6,"1ID13B"
3618,"Chocimko","Bogusz",24,29,"3ID14A"
3619,"Kucznarska","Ludomira ",20,7,"1ID14A"
3620,"Englin","Eligia",23,29,"3ID14A"
3621,"Houzwic","Magda ",20,27,"3ID13A"
3622,"Lejtar","Teofania",23,27,"3ID13A"
3623,"Bzdzil","Tomek",22,24,"3ID11B"
3624,"Schuman","Dlugomil ",26,12,"1ID16B"
3625,"Braziuk","Milowuj ",25,36,"4ID13B"
3626,"Bubielak","Hiacynta ",28,11,"1ID16A"
3627,"Twarduchowski","Leonida ",20,22,"2ID15B"
3628,"Blautzik","Jaroslaw ",26,10,"1ID15B"
3629,"Kalarys","Paula",25,4,"1ID12B"
3630,"Rurac","lucjan",23,28,"3ID13B"
3631,"Krzosala","Mariola ",23,2,"1ID11B"
3632,"Bojlo","Olgierd",22,6,"1ID13B"
3633,"Birewska","Laura ",22,35,"4ID13A"
3634,"Jowko","Zenon",23,29,"3ID14A"
3635,"Bencer","Fortunata ",21,18,"2ID13B"
3636,"Szoprum","Leszek",21,3,"1ID12A"
3637,"Heretyk","Dobielut ",28,26,"3ID12B"
3638,"Szossler","Apolinary",21,23,"3ID11A"
3639,"Paszko","Gaudenty ",20,36,"4ID13B"
3640,"Balczarek","Cieszyslawa ",26,14,"2ID11B"
3641,"Manierczyk","Falibor ",27,3,"1ID12A"
3642,"NowoZenski","Malgorzata ",24,17,"2ID13A"
3643,"Laszczkowski","Wlodzimira",21,9,"1ID15A"
3644,"Sieplinski","Bernard",23,18,"2ID13B"
3645,"Piszkulak","Baldwin",21,11,"1ID16A"
3646,"Jagieta","Natalis ",24,28,"3ID13B"
3647,"Hamlat","Naslawa ",23,18,"2ID13B"
3648,"Karasadowicz","Zbyszek",27,27,"3ID13A"
3649,"Molyszczyk","Alfred",22,5,"1ID13A"
3650,"Petik","Kajmir ",29,20,"2ID14B"
3651,"Motorko","Kalista ",21,5,"1ID13A"
3652,"Wank","Zbygniewa",22,4,"1ID12B"
3653,"Ewertkowska","Patrycy",20,6,"1ID13B"
3654,"Tanasiewicz","Klotylda ",25,30,"3ID14B"
3655,"Jakow","Ryszard",24,33,"4ID12A"
3656,"Ajchorn","Machabeusz ",21,2,"1ID11B"
3657,"Bajabak","Misiek",21,8,"1ID14B"
3658,"Andersh","Karina ",23,23,"3ID11A"
3659,"Szyler","Slawobora",22,5,"1ID13A"
3660,"Bartizel","Dionizja ",25,6,"1ID13B"
3661,"Mojdysz","Lucjol ",25,18,"2ID13B"
3662,"Grynbaum","Malina ",20,3,"1ID12A"
3663,"Zuzalak","Tadek",25,5,"1ID13A"
3664,"Mazgajewski","Niestoj ",25,18,"2ID13B"
3665,"Chajdara","Eustacjusz ",20,27,"3ID13A"
3666,"Cedenbaum","Cieslaw ",23,23,"3ID11A"
3667,"Ertanowski","Fortunat ",22,36,"4ID13B"
3668,"Zawira","Adela",25,6,"1ID13B"
3669,"Drewiak","Marcjusz ",26,32,"4ID11B"
3670,"lopacienski","Daroslaw ",25,23,"3ID11A"
3671,"Glogoza","Bolcza",22,20,"2ID14B"
3672,"Piltkowska","Kajetan",29,28,"3ID13B"
3673,"Skarpas","Flawia ",29,15,"2ID12A"
3674,"Stepun","Zbigniew",28,24,"3ID11B"
3675,"Potapowicz","Czcibora ",21,30,"3ID14B"
3676,"Niegusiak","Adrianna",21,19,"2ID14A"
3677,"Gawrytkowicz","Piotrek",21,27,"3ID13A"
3678,"Kazbierowicz","lucjusz",29,4,"1ID12B"
3679,"Zolobowicz","Gliceria ",24,16,"2ID12B"
3680,"Buluk","Czedrog ",20,15,"2ID12A"
3681,"Zygnarski","Ziemek",28,3,"1ID12A"
3682,"Kunyrz","Ezechiel ",25,33,"4ID12A"
3683,"Dobraszklanka","Nina ",23,34,"4ID12B"
3684,"Kerson","Dorian",22,29,"3ID14A"
3685,"Kozmitowicz","Donata ",22,13,"2ID11A"
3686,"Gratyfikacki","Madzia ",26,4,"1ID12B"
3687,"Manilewski","Maryn ",21,9,"1ID15A"
3688,"Cuburt","Bolek",24,36,"4ID13B"
3689,"Wiesiolow","Klementyna ",26,9,"1ID15A"
3690,"Scheibner","Edmund ",25,18,"2ID13B"
3691,"Besaraba","Falibor ",28,33,"4ID12A"
3692,"Zybenberg","Dorotka",25,2,"1ID11B"
3693,"Banan","Konkordia ",26,2,"1ID11B"
3694,"Tortorello","Gonsalwy ",29,31,"4ID11A"
3695,"Kona","Atanazja ",21,33,"4ID12A"
3696,"Jobacz","Dziadumila ",28,11,"1ID16A"
3697,"Czerepica","Boleslaw",24,24,"3ID11B"
3698,"Konoszew","Dagobert",21,4,"1ID12B"
3699,"Amianska","Hugona ",22,27,"3ID13A"
3700,"CiuZynski","Konrada ",25,10,"1ID15B"
3701,"Gowdiak","Balcer",22,5,"1ID13A"
3702,"Cieleszczyk","Bernarda",27,30,"3ID14B"
3703,"Krym","Boleslawa ",22,17,"2ID13A"
3704,"sniadach","Marietta ",24,35,"4ID13A"
3705,"Nastorowicz","Ostrobod",26,19,"2ID14A"
3706,"Grusznis","Grzel",20,9,"1ID15A"
